lev_timestamp,site_no,station_nm,y,x,name,agency_cd,site_tp_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,timestamp_quarter,baseline_value,relative_to_baseline,ObjectId
7/2/06,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,180.77,null,null,1,null,D,2,null,T,A,2,179.58499999999998,Greater,3828
9/14/03,3.13502E+14,D-21-21 19CDD1 [MW-3],31.58396944,-110.2490444,MW-3,USGS,GW,238.09,null,null,1,null,D,2,null,T,A,3,236.42000000000002,Greater,3834
5/11/06,3.13507E+14,D-21-20 20DCD1 [TW-1] UNSURV,31.58537166,-110.3314686,TW-1,USGS,GW,459.3,null,null,1,null,D,2,null,T,A,2,456.96099999999996,Greater,3837
6/27/11,3.13502E+14,D-21-21 19CDD1 [MW-3],31.58396944,-110.2490444,MW-3,USGS,GW,242.81,null,null,1,USDA,m,1,A,T,A,2,240.40111111111113,Greater,3838
5/15/08,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,181.78,null,null,1,USGS,m,2,S,T,A,2,179.971,Greater,3839
6/20/12,3.13502E+14,D-21-21 19CDD1 [MW-3],31.58396944,-110.2490444,MW-3,USGS,GW,243.38,null,null,1,USDA,m,1,A,T,A,2,241.49857142857144,Greater,3846
7/2/06,3.13507E+14,D-21-20 20DCD1 [TW-1] UNSURV,31.58537166,-110.3314686,TW-1,USGS,GW,459.44,null,null,1,null,D,2,null,T,A,2,457.42800000000005,Greater,3847
6/17/09,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,182.38,null,null,1,USGS,m,2,S,T,A,2,180.52666666666667,Greater,3848
5/20/10,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,182.9,null,null,1,USGS,m,2,S,T,A,2,180.76399999999998,Greater,3853
6/27/11,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,183.55,null,null,1,USDA,m,1,A,T,A,2,181.35777777777778,Greater,3856
6/20/12,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,184.1,null,null,1,USDA,m,1,A,T,A,2,182.30428571428573,Greater,3859
6/12/13,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,184.74,null,null,1,USDA,m,1,A,T,A,2,182.88857142857142,Greater,3862
6/30/14,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,185.33,null,null,1,USGS,m,2,S,V,A,2,183.54,Greater,3865
7/9/15,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,185.93,null,null,1,USGS,m,2,S,V,A,2,184.13285714285715,Greater,3868
4/18/16,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,186.34,null,null,1,USGS,m,2,S,V,A,2,184.40875,Greater,3871
6/27/16,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,186.38,null,null,1,USGS,m,2,S,V,A,2,184.90875,Greater,3874
4/24/17,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,186.55,null,null,1,USGS,m,2,S,V,A,2,185.0911111111111,Greater,3877
6/26/17,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,186.59,null,null,1,USGS,m,2,S,V,A,2,185.50111111111113,Greater,3880
4/16/18,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,186.82,null,null,1,USGS,m,2,S,V,A,2,185.633,Greater,3883
6/20/18,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,187,null,null,1,USGS,m,2,S,V,A,2,185.75727272727275,Greater,3886
4/16/19,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,187.42,null,null,1,USGS,m,2,S,V,A,2,186.1090909090909,Greater,3889
6/25/19,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,187.48,null,null,1,USGS,m,2,S,V,A,2,186.41636363636363,Greater,3892
6/23/20,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,188.06,null,null,1,USGS,m,2,S,V,A,2,186.71818181818182,Greater,3895
6/28/21,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,188.42,null,null,1,USGS,m,2,S,V,A,2,186.99909090909094,Greater,3898
4/22/22,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,188.72,null,null,1,USGS,m,2,S,V,A,2,187.1425,Greater,3901
7/5/22,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,188.9,null,null,1,USGS,m,2,S,V,A,2,187.27769230769232,Greater,3904
5/11/23,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,189.28,null,null,1,USGS,m,2,S,V,A,2,187.635,Greater,3907
12/13/98,3.13507E+14,D-21-20 20DCD1 [TW-1] UNSURV,31.58537166,-110.3314686,TW-1,USGS,GW,454.44,null,null,1,null,D,2,null,T,A,4,453.435,Greater,3911
10/24/99,3.13507E+14,D-21-20 20DCD1 [TW-1] UNSURV,31.58537166,-110.3314686,TW-1,USGS,GW,455.22,null,null,1,null,D,2,null,T,A,4,453.6333333333333,Greater,3914
12/12/99,3.13507E+14,D-21-20 20DCD1 [TW-1] UNSURV,31.58537166,-110.3314686,TW-1,USGS,GW,455.28,null,null,1,null,D,2,null,T,A,4,453.79799999999994,Greater,3917
10/25/00,3.13507E+14,D-21-20 20DCD1 [TW-1] UNSURV,31.58537166,-110.3314686,TW-1,USGS,GW,455.77,null,null,1,null,D,2,null,T,A,4,453.97727272727275,Greater,3920
12/10/00,3.13507E+14,D-21-20 20DCD1 [TW-1] UNSURV,31.58537166,-110.3314686,TW-1,USGS,GW,456.02,null,null,1,null,D,2,null,T,A,4,454.1475,Greater,3923
10/21/01,3.13507E+14,D-21-20 20DCD1 [TW-1] UNSURV,31.58537166,-110.3314686,TW-1,USGS,GW,455.54,null,null,1,null,D,2,null,T,A,4,454.25461538461536,Greater,3926
12/9/01,3.13507E+14,D-21-20 20DCD1 [TW-1] UNSURV,31.58537166,-110.3314686,TW-1,USGS,GW,455.49,null,null,1,null,D,2,null,T,A,4,454.34285714285716,Greater,3929
10/20/02,3.13507E+14,D-21-20 20DCD1 [TW-1] UNSURV,31.58537166,-110.3314686,TW-1,USGS,GW,456.5,null,null,1,null,D,2,null,T,A,4,454.4866666666667,Greater,3932
12/3/02,3.13507E+14,D-21-20 20DCD1 [TW-1] UNSURV,31.58537166,-110.3314686,TW-1,USGS,GW,456.63,null,null,1,null,D,2,null,T,A,4,454.75,Greater,3935
11/2/03,3.13507E+14,D-21-20 20DCD1 [TW-1] UNSURV,31.58537166,-110.3314686,TW-1,USGS,GW,456.03,null,null,1,null,D,2,null,T,A,4,455.11,Greater,3938
12/17/03,3.13507E+14,D-21-20 20DCD1 [TW-1] UNSURV,31.58537166,-110.3314686,TW-1,USGS,GW,457.17,null,null,1,null,D,2,null,T,A,4,455.40000000000003,Greater,3941
11/28/04,3.13507E+14,D-21-20 20DCD1 [TW-1] UNSURV,31.58537166,-110.3314686,TW-1,USGS,GW,458.17,null,null,1,null,D,2,null,T,A,4,455.73285714285714,Greater,3944
1/12/05,3.13507E+14,D-21-20 20DCD1 [TW-1] UNSURV,31.58537166,-110.3314686,TW-1,USGS,GW,458.36,null,null,1,null,D,2,null,T,A,4,456.06357142857144,Greater,3947
11/6/05,3.13507E+14,D-21-20 20DCD1 [TW-1] UNSURV,31.58537166,-110.3314686,TW-1,USGS,GW,458.87,null,null,1,null,D,2,null,T,A,4,456.39214285714286,Greater,3950
12/19/05,3.13507E+14,D-21-20 20DCD1 [TW-1] UNSURV,31.58537166,-110.3314686,TW-1,USGS,GW,459.04,null,null,1,null,D,2,null,T,A,4,456.7207142857143,Greater,3953
11/26/06,3.13507E+14,D-21-20 20DCD1 [TW-1] UNSURV,31.58537166,-110.3314686,TW-1,USGS,GW,459.57,null,null,1,null,D,2,null,T,A,4,457.0314285714286,Greater,3956
11/15/07,3.13507E+14,D-21-20 20DCD1 [TW-1] UNSURV,31.58537166,-110.3314686,TW-1,USGS,GW,460.47,null,null,1,null,D,2,null,T,A,4,457.5276923076923,Greater,3959
1/2/08,3.13507E+14,D-21-20 20DCD1 [TW-1] UNSURV,31.58537166,-110.3314686,TW-1,USGS,GW,460.5,null,null,1,null,D,2,null,T,A,4,457.8723076923077,Greater,3962
4/13/95,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,174.68,null,null,1,USA,D,2,A,V,A,1,null,null,3965
1/31/96,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,175.05,null,null,1,null,D,2,null,T,A,1,null,null,3968
2/22/96,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,175.3,null,null,1,null,D,2,null,T,A,1,null,null,3971
2/2/97,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,175.82,null,null,1,null,D,2,null,T,A,1,175.2125,Greater,3974
2/23/97,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,175.76,null,null,1,null,D,2,null,T,A,1,175.322,Greater,3977
4/10/97,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,175.93,null,null,1,null,D,2,null,T,A,1,175.42333333333332,Greater,3980
2/22/98,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,176.52,null,null,1,null,D,2,null,T,A,1,175.57999999999998,Greater,3983
4/9/98,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,176.56,null,null,1,null,D,2,null,T,A,1,175.70250000000001,Greater,3986
2/21/99,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,177.2,null,null,1,null,D,2,null,T,A,1,175.86888888888888,Greater,3989
4/11/99,3.1353E+14,D-21-21 20ACC1 [MW-4],31.59163056,-110.2322889,MW-4,USGS,GW,177.24,null,null,1,null,D,2,null,T,A,1,176.006,Greater,3992
