system:index,NDVI,day,month,name,year,.geo
LC08_035038_20130519_00000000000000000017_0,0.48415908,19,5,D-23-22 04DCD2 [HER-LD],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_0000000000000000001e_0,0.19778377,19,5,D-22-22 06ABD [LSP-6],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000035_0,0.17149387,19,5,D-19-21 21ACC2 [CONLID],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000025_0,0.21193096,19,5,D-21-21 13BAB4 [MOSLNW],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000030_0,0.15735604,19,5,D-19-21 28ACD [TOM-LI],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000011_0,0.17748207,19,5,D-22-22 33BBC [HUN-UP],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_0000000000000000001b_0,0.44675446,19,5,D-22-22 17ACC1 [COT-LS],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000020_0,0.44675446,19,5,D-22-22 17ACC2 [COT-LD],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_0000000000000000002c_0,0.17592774,19,5,D-20-21 10AAC2 [FBK-UP],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_0000000000000000002e_0,0.15948896,19,5,D-20-21 15DDB [BOQ-UP],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_0000000000000000001d_0,0.5301842,19,5,D-22-22 06AAA1 [LSPLED],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000018_0,0.42694417,19,5,D-22-22 17ACC3 [COTBLM],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000034_0,0.16054168,19,5,D-20-21 15DBD1 [BOQ-LI],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000038_0,0.3666521,19,5,D-19-21 05AAA2 [STD-LO],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000019_0,0.50514776,19,5,D-22-22 28CAA1 [HUN-LI],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_0000000000000000000b_0,0.36493012,19,5,D-23-22 22CBB2 [KOL-LO],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_0000000000000000000d_0,0.32068512,19,5,D-23-22 22CBB3 [KOL-UP],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000012_0,0.28382754,19,5,D-22-22 28CCD [HUN-SO],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000002_0,0.6863181,19,5,D-23-22 33DCD2 [PALO DEEP],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_0000000000000000000a_0,0.26264104,19,5,D-23-22 33ABD02 [ULLRICH],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000036_0,0.42284122,19,5,D-19-21 08DAC1 [SUM-LI],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000005_0,0.2769363,19,5,D-24-22 08DBA2 [PLS-LO],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000006_0,0.20338793,19,5,D-24-22 04ADD [PAL-SA],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000013_0,0.1973639,19,5,D-22-22 28CAA2 [HUN-LO],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000029_0,0.22869594,19,5,D-21-21 13BAB1 [MOSLNS],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000031_0,0.22869594,19,5,D-21-21 13BAB2 [MOSLND],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000001_0,0.15586804,19,5,D-24-22 04CBC2 [PALUWD],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_00000000000000000008_0,0.15586804,19,5,D-24-22 04CBC1 [PALUWS],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_0000000000000000001a_0,0.124049135,19,5,D-22-22 06AAA4 [LSP-4],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20130519_0000000000000000001f_0,0.124049135,19,5,D-22-22 06AAA6 [LSP-1],2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
