system:index,NDVI,day,month,name,year,.geo
LC08_035038_20150117_00000000000000000014_0,0.18593377,17,1,D-23-22 04DCD4 [HERUED],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150117_00000000000000000016_0,0.18593377,17,1,D-23-22 04DCD3 [HERUES],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000027_0,0.16138943,18,2,D-22-22 06AAA3 [LSP-3],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000028_0,0.16138943,18,2,D-22-22 06AAA7 [LSP-2],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_0000000000000000000e_0,0.17438173,18,2,D-23-22 09ACD1 [HERSUS],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_0000000000000000000f_0,0.17438173,18,2,D-23-22 09ACD2 [HERSUD],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_0000000000000000001c_0,0.1601155,18,2,D-22-22 17BDD2 [COTUWD],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000024_0,0.15960829,18,2,D-21-22 19CDB2 [CLRSUD],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000010_0,0.1505075,18,2,D-23-22 04DCD1 [HER-LS],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000017_0,0.1505075,18,2,D-23-22 04DCD2 [HER-LD],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_0000000000000000001e_0,0.17220877,18,2,D-22-22 06ABD [LSP-6],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000035_0,0.21391481,18,2,D-19-21 21ACC2 [CONLID],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000025_0,0.17420864,18,2,D-21-21 13BAB4 [MOSLNW],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000030_0,0.16719355,18,2,D-19-21 28ACD [TOM-LI],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000011_0,0.15215036,18,2,D-22-22 33BBC [HUN-UP],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_0000000000000000001b_0,0.23540668,18,2,D-22-22 17ACC1 [COT-LS],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000020_0,0.23540668,18,2,D-22-22 17ACC2 [COT-LD],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_0000000000000000002c_0,0.16763833,18,2,D-20-21 10AAC2 [FBK-UP],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_0000000000000000002e_0,0.14662574,18,2,D-20-21 15DDB [BOQ-UP],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_0000000000000000001d_0,0.25144267,18,2,D-22-22 06AAA1 [LSPLED],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000018_0,0.21051686,18,2,D-22-22 17ACC3 [COTBLM],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000034_0,0.15021403,18,2,D-20-21 15DBD1 [BOQ-LI],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000038_0,0.19960283,18,2,D-19-21 05AAA2 [STD-LO],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000019_0,0.27881092,18,2,D-22-22 28CAA1 [HUN-LI],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_0000000000000000000b_0,0.24629408,18,2,D-23-22 22CBB2 [KOL-LO],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_0000000000000000000d_0,0.19878307,18,2,D-23-22 22CBB3 [KOL-UP],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000012_0,0.18392235,18,2,D-22-22 28CCD [HUN-SO],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000002_0,0.35540995,18,2,D-23-22 33DCD2 [PALO DEEP],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_0000000000000000000a_0,0.1609687,18,2,D-23-22 33ABD02 [ULLRICH],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000036_0,0.20758176,18,2,D-19-21 08DAC1 [SUM-LI],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000005_0,0.2589476,18,2,D-24-22 08DBA2 [PLS-LO],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000006_0,0.15569976,18,2,D-24-22 04ADD [PAL-SA],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000013_0,0.17825168,18,2,D-22-22 28CAA2 [HUN-LO],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000029_0,0.19343102,18,2,D-21-21 13BAB1 [MOSLNS],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000031_0,0.19343102,18,2,D-21-21 13BAB2 [MOSLND],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000001_0,0.21558891,18,2,D-24-22 04CBC2 [PALUWD],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000008_0,0.21558891,18,2,D-24-22 04CBC1 [PALUWS],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_0000000000000000001a_0,0.15923823,18,2,D-22-22 06AAA4 [LSP-4],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_0000000000000000001f_0,0.15923823,18,2,D-22-22 06AAA6 [LSP-1],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000022_0,0.15923823,18,2,D-22-22 06AAA5 [LSP-5],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000021_0,0.3199982,18,2,D-22-22 05BBD2 [LSPUED],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000023_0,0.16401781,18,2,D-21-22 19CDB1 [CLRSUS],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000026_0,0.15840577,18,2,D-21-21 13BAC1 [MOSWAS],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_0000000000000000002d_0,0.16004571,18,2,D-20-21 03CBA [FBK-LI],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000000_0,0.3064018,18,2,D-24-22 04CBA3 [PAL-US],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000003_0,0.3064018,18,2,D-24-22 04CBA4 [PAL-UD],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000007_0,0.23589697,18,2,D-24-22 04CBA1 [PAL-LS],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_00000000000000000009_0,0.23589697,18,2,D-24-22 04CBA2 [PAL-LD],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_035038_20150218_0000000000000000002b_0,0.14391579,18,2,D-20-21 14BCC1 [BOQSUS],2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
