name,date,ppt
wg_rg001,2000-10-05T07:00:00Z,0
wg_rg001,2000-10-06T07:00:00Z,0
wg_rg001,2000-10-07T07:00:00Z,0
wg_rg001,2000-10-08T07:00:00Z,1.975000023841858
wg_rg001,2000-10-09T07:00:00Z,2.236999988555908
wg_rg001,2000-10-10T07:00:00Z,0.028999999165534973
wg_rg001,2000-10-11T07:00:00Z,20.332000732421875
wg_rg001,2000-10-12T07:00:00Z,46.27299880981445
wg_rg001,2000-10-13T07:00:00Z,4.089000225067139
wg_rg001,2000-10-14T07:00:00Z,0
wg_rg001,2000-10-15T07:00:00Z,0
wg_rg001,2000-10-16T07:00:00Z,0
wg_rg001,2000-10-17T07:00:00Z,0
wg_rg001,2000-10-18T07:00:00Z,0
wg_rg001,2000-10-19T07:00:00Z,6.9070000648498535
wg_rg001,2000-10-20T07:00:00Z,11.458000183105469
wg_rg001,2000-10-21T07:00:00Z,0.0010000000474974513
wg_rg001,2000-10-22T07:00:00Z,10.119999885559082
wg_rg001,2000-10-23T07:00:00Z,38.1150016784668
wg_rg001,2000-10-24T07:00:00Z,0
wg_rg001,2000-10-25T07:00:00Z,0
wg_rg001,2000-10-26T07:00:00Z,0
wg_rg001,2000-10-27T07:00:00Z,0
wg_rg001,2000-10-28T07:00:00Z,10.362000465393066
wg_rg001,2000-10-29T07:00:00Z,0
wg_rg001,2000-10-30T07:00:00Z,0
wg_rg001,2000-10-31T07:00:00Z,3.1760001182556152
wg_rg001,2000-11-01T07:00:00Z,0
wg_rg001,2000-11-02T07:00:00Z,0.45100000500679016
wg_rg001,2000-11-03T07:00:00Z,0.19099999964237213
wg_rg001,2000-11-04T07:00:00Z,4.566999912261963
wg_rg001,2000-11-05T07:00:00Z,5.63700008392334
wg_rg001,2000-11-06T07:00:00Z,1.406000018119812
wg_rg001,2000-11-07T07:00:00Z,20.198999404907227
wg_rg001,2000-11-08T07:00:00Z,0.8349999785423279
wg_rg001,2000-11-09T07:00:00Z,0
wg_rg001,2000-11-10T07:00:00Z,0
wg_rg001,2000-11-11T07:00:00Z,1.9850000143051147
wg_rg001,2000-11-12T07:00:00Z,1.777999997138977
wg_rg001,2000-11-13T07:00:00Z,0
wg_rg001,2000-11-14T07:00:00Z,0
wg_rg001,2000-11-15T07:00:00Z,0
wg_rg001,2000-11-16T07:00:00Z,0
wg_rg001,2000-11-17T07:00:00Z,0
wg_rg001,2000-11-18T07:00:00Z,0
wg_rg001,2000-11-19T07:00:00Z,0
wg_rg001,2000-11-20T07:00:00Z,0
wg_rg001,2000-11-21T07:00:00Z,0
wg_rg001,2000-11-22T07:00:00Z,0
wg_rg001,2000-11-23T07:00:00Z,0
wg_rg001,2000-11-24T07:00:00Z,0
wg_rg001,2000-11-25T07:00:00Z,0
wg_rg001,2000-11-26T07:00:00Z,0
wg_rg001,2000-11-27T07:00:00Z,0
wg_rg001,2000-11-28T07:00:00Z,0
wg_rg001,2000-11-29T07:00:00Z,0
wg_rg001,2000-11-30T07:00:00Z,0
wg_rg001,2000-12-01T07:00:00Z,0
wg_rg001,2000-12-02T07:00:00Z,0
wg_rg001,2000-12-03T07:00:00Z,0
wg_rg001,2000-12-04T07:00:00Z,0
wg_rg001,2000-12-05T07:00:00Z,0
wg_rg001,2000-12-06T07:00:00Z,0
wg_rg001,2000-12-07T07:00:00Z,0
wg_rg001,2000-12-08T07:00:00Z,0
wg_rg001,2000-12-09T07:00:00Z,0
wg_rg001,2000-12-10T07:00:00Z,0
wg_rg001,2000-12-11T07:00:00Z,0
wg_rg001,2000-12-12T07:00:00Z,0
wg_rg001,2000-12-13T07:00:00Z,4.960000038146973
wg_rg001,2000-12-14T07:00:00Z,0
wg_rg001,2000-12-15T07:00:00Z,0
wg_rg001,2000-12-16T07:00:00Z,0
wg_rg001,2000-12-17T07:00:00Z,0
wg_rg001,2000-12-18T07:00:00Z,0
wg_rg001,2000-12-19T07:00:00Z,0
wg_rg001,2000-12-20T07:00:00Z,0
wg_rg001,2000-12-21T07:00:00Z,0
wg_rg001,2000-12-22T07:00:00Z,0
wg_rg001,2000-12-23T07:00:00Z,0
wg_rg001,2000-12-24T07:00:00Z,0
wg_rg001,2000-12-25T07:00:00Z,0
wg_rg001,2000-12-26T07:00:00Z,0
wg_rg001,2000-12-27T07:00:00Z,0
wg_rg001,2000-12-28T07:00:00Z,0
wg_rg001,2000-12-29T07:00:00Z,0
wg_rg001,2000-12-30T07:00:00Z,0
wg_rg001,2000-12-31T07:00:00Z,0
wg_rg001,2001-01-01T07:00:00Z,0
wg_rg001,2001-01-02T07:00:00Z,0
wg_rg001,2001-01-03T07:00:00Z,0
wg_rg001,2001-01-04T07:00:00Z,0
wg_rg001,2001-01-05T07:00:00Z,0
wg_rg001,2001-01-06T07:00:00Z,0.7850000262260437
wg_rg001,2001-01-07T07:00:00Z,4.827000141143799
wg_rg001,2001-01-08T07:00:00Z,0
wg_rg001,2001-01-09T07:00:00Z,6.841000080108643
wg_rg001,2001-01-10T07:00:00Z,7.7769999504089355
wg_rg001,2001-01-11T07:00:00Z,0
