0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
61.8,d_19240701,0,0,0,0,0,0,38.2,4.4,0,0,0
20.4,d_19240801,79.6,52,1.5,0,0,0,0,0,0,0,0
0,d_19240901,100,100,99.2,90.8,55.3,0,0,0,0,0,0
0,d_19241001,100,100,97.8,88.6,48.5,0,0,0,0,0,0
0,d_19241101,100.1,100.1,94.6,81.4,37.8,0,0,0,0,0,0
0,d_19241201,100,100,100,99.1,77.7,0,0,0,0,0,0
0,d_19250101,100,100,100,100,97.7,0,0,0,0,0,0
0,d_19250201,100,100,100,100,99.9,0,0,0,0,0,0
0,d_19250301,100,100,100,100,100,0,0,0,0,0,0
0,d_19250401,100,100,100,100,100,0,0,0,0,0,0
0,d_19250501,100,100,100,100,100,0,0,0,0,0,0
0,d_19250601,100.1,99.5,57.3,28,0.5,0,0,0,0,0,0
16,d_19250701,83.9,52.6,20.8,4.7,0,0,0,0,0,0,0
7,d_19250801,93.1,59.8,28.6,13.6,0,0,0,0,0,0,0
1.6,d_19250901,98.4,67.6,32.9,8.4,0,0,0,0,0,0,0
58.4,d_19251001,41.6,24.8,0,0,0,0,0,0,0,0,0
82.1,d_19251101,17.9,4.9,0,0,0,0,0,0,0,0,0
89.5,d_19251201,10.5,0,0,0,0,0,0,0,0,0,0
96.2,d_19260101,3.8,0,0,0,0,0,0,0,0,0,0
87.8,d_19260201,12.2,0,0,0,0,0,0,0,0,0,0
82.8,d_19260301,0,0,0,0,0,0,17.2,0.8,0,0,0
9.8,d_19260401,0,0,0,0,0,0,90.2,8.9,0,0,0
0,d_19260501,0,0,0,0,0,0,100,97.8,0,0,0
0,d_19260601,0,0,0,0,0,0,100.1,99.5,3.2,0,0
5.9,d_19260701,0,0,0,0,0,0,94.1,33.4,0,0,0
82.9,d_19260801,0,0,0,0,0,0,17.1,1.9,0,0,0
0,d_19260901,0,0,0,0,0,0,100.1,100.1,82.3,55.3,13.2
0,d_19261001,0,0,0,0,0,0,100,100,90.4,59.6,17
0,d_19261101,0,0,0,0,0,0,99.9,99.7,79,41.4,7.5
0,d_19261201,0,0,0,0,0,0,99.9,69.8,26.3,1.2,0
55.2,d_19270101,0,0,0,0,0,0,44.8,8.4,0,0,0
84.5,d_19270201,0,0,0,0,0,0,15.5,0.2,0,0,0
58.4,d_19270301,0,0,0,0,0,0,41.6,3.3,0,0,0
46.1,d_19270401,0,0,0,0,0,0,54,20.3,0,0,0
