date,name,well,level,evi,evi_mean,evi_sd,evi_cv,dtg_mean,dtg_sd,dtg_cv,evi_z,dtg_z,month,reach,year,wy_ppt,method
2007-06-12T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],regional,34.63,0.1929637526652452,0.1699672557021488,0.054683044963254365,0.32172693932930896,33.53237113402062,1.458122203666326,0.04348401721544149,0.42054163184492527,0.7527687756345012,6,NA,2007,180.43000090122223,obs relative to whole year - MOD09 daily EVI
2008-06-12T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],regional,34.95,0.10920264733690511,0.1699672557021488,0.054683044963254365,0.32172693932930896,33.53237113402062,1.458122203666326,0.04348401721544149,-1.1112147907285699,0.972229119352872,6,NA,2008,211.89100007584784,obs relative to whole year - MOD09 daily EVI
2008-06-26T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],regional,35.19,0.13676112827930836,0.1699672557021488,0.054683044963254365,0.32172693932930896,33.53237113402062,1.458122203666326,0.04348401721544149,-0.6072472270912148,1.1368243771416466,6,NA,2008,211.89100007584784,obs relative to whole year - MOD09 daily EVI
2009-06-11T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],regional,32.45,0.10929582954397817,0.1699672557021488,0.054683044963254365,0.32172693932930896,33.53237113402062,1.458122203666326,0.04348401721544149,-1.1095107486962423,-0.742304815946899,6,NA,2009,157.33500030636787,obs relative to whole year - MOD09 daily EVI
2011-06-22T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],regional,32.59,0.102057640308646,0.1699672557021488,0.054683044963254365,0.32172693932930896,33.53237113402062,1.458122203666326,0.04348401721544149,-1.241876992020769,-0.6462909155701114,6,NA,2011,40.84999995678663,obs relative to whole year - MOD09 daily EVI
2012-06-19T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],regional,32.45,0.12644433165138988,0.1699672557021488,0.054683044963254365,0.32172693932930896,33.53237113402062,1.458122203666326,0.04348401721544149,-0.7959125919195836,-0.742304815946899,6,NA,2012,136.56950004585087,obs relative to whole year - MOD09 daily EVI
2013-06-06T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],regional,33.4,0.1328785407088833,0.1699672557021488,0.054683044963254365,0.32172693932930896,33.53237113402062,1.458122203666326,0.04348401721544149,-0.678248898139966,-0.0907819205329889,6,NA,2013,125.85090024769306,obs relative to whole year - MOD09 daily EVI
2015-06-30T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],regional,33.27,0.16142660986515509,0.1699672557021488,0.054683044963254365,0.32172693932930896,33.53237113402062,1.458122203666326,0.04348401721544149,-0.15618453293398,-0.17993768516857386,6,NA,2015,257.16300054988824,obs relative to whole year - MOD09 daily EVI
2017-06-30T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],regional,34.18,0.12768817204301075,0.1699672557021488,0.054683044963254365,0.32172693932930896,33.53237113402062,1.458122203666326,0.04348401721544149,-0.7731662289023687,0.4441526672805404,6,NA,2017,173.4200003668666,obs relative to whole year - MOD09 daily EVI
2018-05-17T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],regional,33.48,0.13147519627001267,0.1699672557021488,0.054683044963254365,0.32172693932930896,33.53237113402062,1.458122203666326,0.04348401721544149,-0.7039121442121927,-0.035916834603397396,5,NA,2018,227.54100006027147,obs relative to whole year - MOD09 daily EVI
2019-06-14T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],regional,33.78,0.13654803918335037,0.1699672557021488,0.054683044963254365,0.32172693932930896,33.53237113402062,1.458122203666326,0.04348401721544149,-0.6111440308646912,0.16982723763257804,6,NA,2019,215.06899982295,obs relative to whole year - MOD09 daily EVI
2019-06-26T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],regional,34.14,0.1598514244022154,0.1699672557021488,0.054683044963254365,0.32172693932930896,33.53237113402062,1.458122203666326,0.04348401721544149,-0.1849902708733756,0.4167201243157447,6,NA,2019,215.06899982295,obs relative to whole year - MOD09 daily EVI
2021-05-06T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],regional,34.58,0.11119105239060764,0.1699672557021488,0.054683044963254365,0.32172693932930896,33.53237113402062,1.458122203666326,0.04348401721544149,-1.0748524218253992,0.7184780969285028,5,NA,2021,111.3622972346202,obs relative to whole year - MOD09 daily EVI
2024-05-23T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],regional,36.45,0.208650624428876,0.1699672557021488,0.054683044963254365,0.32172693932930896,33.53237113402062,1.458122203666326,0.04348401721544149,0.707410656314429,2.000949480532735,5,NA,2024,NA,obs relative to whole year - MOD09 daily EVI
2005-08-30T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],regional,34.5,0.23742968561272731,0.1699672557021488,0.054683044963254365,0.32172693932930896,33.53237113402062,1.458122203666326,0.04348401721544149,1.2336992198571162,0.6636130109989113,8,NA,2005,267.7259992361069,obs relative to whole year - MOD09 daily EVI
2007-08-13T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],regional,34.16,0.25123513266239705,0.1699672557021488,0.054683044963254365,0.32172693932930896,33.53237113402062,1.458122203666326,0.04348401721544149,1.4861622467230609,0.43043639579814014,8,NA,2007,180.43000090122223,obs relative to whole year - MOD09 daily EVI
2008-08-20T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],regional,32.7,0.28885911179173046,0.1699672557021488,0.054683044963254365,0.32172693932930896,33.53237113402062,1.458122203666326,0.04348401721544149,2.174199629327043,-0.5708514224169219,8,NA,2008,211.89100007584784,obs relative to whole year - MOD09 daily EVI
2009-09-04T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],regional,31.88,0.3209533067408574,0.1699672557021488,0.054683044963254365,0.32172693932930896,33.53237113402062,1.458122203666326,0.04348401721544149,2.761112720408446,-1.1332185531952494,9,NA,2009,157.33500030636787,obs relative to whole year - MOD09 daily EVI
2010-09-01T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],regional,30.94,0.2616452920459831,0.1699672557021488,0.054683044963254365,0.32172693932930896,33.53237113402062,1.458122203666326,0.04348401721544149,1.6765349553127413,-1.7778833128679616,9,NA,2010,384.6019992828369,obs relative to whole year - MOD09 daily EVI
2011-09-26T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],regional,31.27,0.25083792842469455,0.1699672557021488,0.054683044963254365,0.32172693932930896,33.53237113402062,1.458122203666326,0.04348401721544149,1.4788984917882464,-1.5515648334083931,9,NA,2011,40.84999995678663,obs relative to whole year - MOD09 daily EVI
2014-09-12T07:00:00Z,D-24-21 17BCB3 [Baumkirchner 3],regional,32.48,0.2416292716603383,0.1699672557021488,0.054683044963254365,0.32172693932930896,33.53237113402062,1.458122203666326,0.04348401721544149,1.310497906734063,-0.7217304087233058,9,NA,2014,142.42900002002716,obs relative to whole year - MOD09 daily EVI
